Member,Body,District,PictureFile,FullName,Party,District Cities
Melendez,assembly,67,melissa_a_melendez.jpg,Melissa A. Melendez,Republican,"Murrieta
Menifee
Lake Elsinore"
Wagner,assembly,68,donald_p_wagner.jpg,Donald P. Wagner,Republican,"Orange
Lake Forest
Tustin"
Daly,assembly,69,tom_daly.jpg,Tom Daly,Democrat,"Santa Ana
Anaheim
Garden Grove"
Dickinson,assembly,7,roger_dickinson.jpg,Roger Dickinson,Democrat,"Sacramento
West Sacramento"
DeSaulnier,senate,7,mark_desaulnier.jpg,Mark DeSaulnier,Democrat,"Sacramento
West Sacramento"
Lowenthal,assembly,70,bonnie_lowenthal.jpg,Bonnie Lowenthal,Democrat,"Long Beach
Los Angeles
Signal Hill"
Jones,assembly,71,brian_w_jones.jpg,Brian W. Jones,Republican,"El Cajon
Santee"
Allen,assembly,72,travis_allen.jpg,Travis Allen,Republican,"Garden Grove
Huntington Beach
Westminster"
Harkey,assembly,73,diane_l_harkey.jpg,Diane L. Harkey,Republican,"Mission Viejo
San Clemente
Laguna Niguel"
Mansoor,assembly,74,allan_r_mansoor.jpg,Allan R. Mansoor,Republican,"Irvine
Costa Mesa
Huntington Beach"
Waldron,assembly,75,marie_waldron.jpg,Marie Waldron,Republican,"Escondido
Temecula
San Marcos"
Chávez,assembly,76,rocky_j_chvez.jpg,Rocky J. Chávez,Republican,"Oceanside
Carlsbad
Vista"
Maienschein,assembly,77,brian_maienschein.jpg,Brian Maienschein,Republican,"San Diego
Poway"
Atkins,assembly,78,toni_atkins.jpg,Toni Atkins,Democrat,"San Diego
Imperial Beach
Coronado"
Weber,assembly,79,shirley_n_weber.jpg,Shirley N. Weber,Democrat,"San Diego
Chula Vista
La Mesa"
Cooley,assembly,8,ken_cooley.jpg,Ken Cooley,Democrat,"Citrus Heights
Rancho Cordova"
Yee,senate,8,leland_y_yee.jpg,Leland Y. Yee,Democrat,"Citrus Heights
Rancho Cordova"
Gonzalez,assembly,80,lorena_gonzalez.jpg,Lorena Gonzalez,Democrat,"San Diego
Chula Vista
National City"
Pan,assembly,9,richard_pan.jpg,Richard Pan,Democrat,"Elk Grove
Sacramento
Lodi"
Hancock,senate,9,loni_hancock.jpg,Loni Hancock,Democrat,"Elk Grove
Sacramento
Lodi"
